Call_date,Ticker,volume,Delivery %
2026-03-31 18:30:00,DRREDDY,2240507,50.07
2026-03-29 18:30:00,DRREDDY,1991442,46.46
2026-03-26 18:30:00,DRREDDY,2165113,63.06
2026-03-24 18:30:00,DRREDDY,1577150,59.88
2026-04-23 18:30:00,KOTAKBANK,19678907,74.19
2026-04-22 18:30:00,KOTAKBANK,27628052,68.54
2026-04-21 18:30:00,KOTAKBANK,14471487,71.86
2026-04-20 18:30:00,KOTAKBANK,12323488,70.66
2026-04-19 18:30:00,KOTAKBANK,11146713,60.89
2026-04-16 18:30:00,KOTAKBANK,11626179,68.28
2026-04-15 18:30:00,KOTAKBANK,12060624,56.35
2026-04-14 18:30:00,KOTAKBANK,19100372,66.54
2026-04-12 18:30:00,KOTAKBANK,30027087,64.1
2026-04-09 18:30:00,KOTAKBANK,23751660,66.44
2026-04-08 18:30:00,KOTAKBANK,12422256,58.75
2026-04-07 18:30:00,KOTAKBANK,30162218,67.02
2026-04-06 18:30:00,KOTAKBANK,23655155,65.83
2026-04-05 18:30:00,KOTAKBANK,18320378,59.75
2026-04-01 18:30:00,KOTAKBANK,22056018,65.99
2026-03-31 18:30:00,KOTAKBANK,21245776,61.99
2026-03-29 18:30:00,KOTAKBANK,39762775,49.38
2026-03-26 18:30:00,KOTAKBANK,28928069,74.68
2026-03-24 18:30:00,KOTAKBANK,42442702,61.06
2026-04-23 18:30:00,M&M,2300917,55.98
2026-04-22 18:30:00,M&M,4540875,62.84
2026-04-21 18:30:00,M&M,3096787,67.41
2026-04-20 18:30:00,M&M,1972188,65.92
2026-04-19 18:30:00,M&M,3201466,61.05
2026-04-16 18:30:00,M&M,2180404,55.76
2026-04-15 18:30:00,M&M,2678634,49.01
2026-04-14 18:30:00,M&M,2591177,52.21
2026-04-12 18:30:00,M&M,3183080,48.64
2026-04-09 18:30:00,M&M,2801451,47.11
2026-04-08 18:30:00,M&M,3039565,43.84
2026-04-07 18:30:00,M&M,4227961,48.71
2026-04-06 18:30:00,M&M,2292715,42.44
2026-04-05 18:30:00,M&M,2554900,48.8
2026-04-01 18:30:00,M&M,3297975,56.3
2026-03-31 18:30:00,M&M,3522875,59.28
2026-03-29 18:30:00,M&M,5416854,45.74
2026-03-26 18:30:00,M&M,3155168,59.2
2026-03-24 18:30:00,M&M,3328790,61.36
2026-04-23 18:30:00,TRENT,1622094,37.0
2026-04-22 18:30:00,TRENT,4802737,27.89
2026-04-21 18:30:00,TRENT,2596869,28.86
2026-04-20 18:30:00,TRENT,2438074,31.09
2026-04-19 18:30:00,TRENT,2228155,25.27
2026-04-16 18:30:00,TRENT,1248606,35.18
2026-04-15 18:30:00,TRENT,1392767,34.18
2026-04-14 18:30:00,TRENT,753162,48.26
2026-04-12 18:30:00,TRENT,426185,29.65
2026-04-09 18:30:00,TRENT,1186264,42.81
2026-04-08 18:30:00,TRENT,749640,33.56
2026-04-07 18:30:00,TRENT,1425604,33.78
2026-04-06 18:30:00,TRENT,1992402,34.97
2026-04-05 18:30:00,TRENT,4877807,30.87
2026-04-01 18:30:00,TRENT,1131209,40.4
2026-03-31 18:30:00,TRENT,1628959,39.03
2026-03-29 18:30:00,TRENT,1835877,51.68
2026-03-26 18:30:00,TRENT,1288297,51.69
2026-03-24 18:30:00,TRENT,1086467,41.74
2026-04-23 18:30:00,MARUTI,464098,59.35
2026-04-22 18:30:00,MARUTI,541086,58.91
2026-04-21 18:30:00,MARUTI,434640,58.91
2026-04-20 18:30:00,MARUTI,292879,49.22
2026-04-19 18:30:00,MARUTI,348629,50.97
2026-04-16 18:30:00,MARUTI,549308,46.75
2026-04-15 18:30:00,MARUTI,527309,47.86
2026-04-14 18:30:00,MARUTI,699458,57.14
2026-04-12 18:30:00,MARUTI,1347910,51.82
2026-04-09 18:30:00,MARUTI,471921,55.2
2026-04-08 18:30:00,MARUTI,549914,41.11
2026-04-07 18:30:00,MARUTI,1026292,63.26
2026-04-06 18:30:00,MARUTI,359542,49.38
2026-04-05 18:30:00,MARUTI,382650,44.82
2026-04-01 18:30:00,MARUTI,438227,44.43
2026-03-31 18:30:00,MARUTI,501882,44.23
2026-03-29 18:30:00,MARUTI,635675,52.2
2026-03-26 18:30:00,MARUTI,775339,68.65
2026-03-24 18:30:00,MARUTI,540649,61.14
2026-04-23 18:30:00,CIPLA,4427307,46.71
2026-04-22 18:30:00,CIPLA,5274028,38.59
2026-04-21 18:30:00,CIPLA,1172238,65.45
2026-04-20 18:30:00,CIPLA,1428292,71.61
2026-04-19 18:30:00,CIPLA,1158618,47.43
2026-04-16 18:30:00,CIPLA,2291092,71.99
2026-04-15 18:30:00,CIPLA,1778133,61.32
